constituent_id,name,birthdate,status,days_in_status,spouse_name,spouse_birthdate,fundraiser_id,capacity_rating,city,state,class_year
1,Mrs. Anthony Zhang II,1945-10-14,Cultivation,122,Dr. Betty T. James,1975-04-23,1,$50K-$99K,Portland,OR,1996
2,Dr. George Baker,1949-04-25,Cultivation,434,,,1,$100K-$249K,Portland,OR,1986
3,Prescott N. Hernandez II,1958-11-20,Identification,99,,,1,$500K-$999K,Detroit,MI,2007
4,Ms. Dorothy R. Ruiz Jr.,1950-06-12,Identification,60,,,1,$250K-$499K,Nashville,TN,2006
5,Ms. Carol J. Abubakar II,1954-11-11,Stewardship,174,,,1,$100K-$249K,Denver,CO,1964
6,Jason Turner III,1949-05-05,Solicitation,156,Prescott P. Zhang Sr.,1963-04-05,1,$100K-$249K,Los Angeles,CA,1967
7,Thomas R. Howard,1975-01-22,Solicitation,399,,,1,$500K-$999K,Seattle,WA,1996
8,George J. Bailey,1972-02-28,Solicitation,350,Prof. Ann Martin Jr.,1950-09-25,1,$250K-$499K,Baltimore,MD,
9,Brandon H. Park,1945-12-16,Stewardship,201,Steven S. Cox,1956-09-28,1,$100K-$249K,Albany,NY,1975
10,Maria T. Cook,1955-04-03,Stewardship,752,,,1,$250K-$499K,Dallas,TX,1997
11,Dr. Ryan B. Beaumont Jr.,1944-09-08,Qualification,156,,,1,$50K-$99K,Los Angeles,CA,1975
12,Ms. Jean Harris,1946-11-14,Cultivation,452,,,1,$250K-$499K,Singapore,SG,1991
13,Sandra G. Ramos III,1948-07-06,Stewardship,630,Angela Martinez III,1975-02-02,1,$50K-$99K,Philadelphia,PA,1996
14,Frances N. Okafor,1950-07-01,Stewardship,859,Prof. Nathan W. Alvarez III,1949-04-10,1,$1M+,Phoenix,AZ,1965
15,Arthur Howard,1943-09-03,Cultivation,280,Mr. Karen Walker Sr.,1947-10-08,1,$100K-$249K,Austin,TX,1964
16,Eric L. Walker,1965-03-22,Cultivation,397,,,1,$100K-$249K,Dubai,UAE,1966
